PC1,PC2,Cluster
0.21240268215788843,1.1698180427244103,0
-0.7926944186797834,1.2183082118079092,0
-0.5876400351670423,-0.20396036995749667,0
-0.14619224210861043,-1.7437719232907691,1
-1.0400931222882615,1.220904087719572,0
-0.2826842266015464,-0.24842146693088774,0
-0.12925027195809724,1.1918505834541153,0
-0.6438288681361012,-0.21711930777663646,0
-0.1365248776147205,-0.17516092932262883,0
0.15884569107392107,-0.18769734350407274,0
-0.8792067017219989,1.169921996405864,0
-0.9238062886055233,-0.20751109507259358,0
0.30961836288344086,-1.7665929551351365,1
8.055358241317014,0.9421351845731193,2
-0.34175713104093597,-1.8066030735065173,3
-0.7747198051542161,1.1760390202721238,0
-1.441407613173807,-1.7330565888543104,1
-0.2026849250532752,1.187557145786175,0
0.33447824497497347,1.2009574009593005,0
0.5665474688444148,1.1172445138293117,3
0.07858133014345925,-1.7730157616361544,1
-0.5825498149628737,1.23119212557585,0
-1.4030920098326456,1.2407573232829037,0
-0.7920190906424421,-1.7284888141094845,1
-1.3705889226246983,-1.7355706509464144,1
2.853309115548445,1.0782568664022272,2
1.8408935543836253,1.113699068840626,2
0.6480698790931119,1.1008492270977075,3
1.678645661795993,-0.3519922858344986,3
2.1982284593539463,-1.8881943620963717,2
8.642015502117717,0.8750890056421834,2
-0.7533708420599752,-1.695810437009108,1
0.2832460579463536,-1.8204874314609893,1
0.3382073012660684,1.1750935269109715,0
-1.0971142911253366,-0.2663217535359512,3
1.2093866591828646,-0.2787530334660714,2
-0.9525447530139645,-1.7351564786108553,1
-1.4333536876931192,-1.6767328949109597,1
-1.1616551933375017,1.2246587316675634,0
-0.6136002323725387,1.1948421858416376,0
-2.070052904475201,-1.7182972791939177,1
1.5468822876374504,-1.8047273561280057,1
0.27204491271298115,1.207207517055977,0
-1.5799837847128237,1.2234050350836578,0
-0.18037977982015002,1.208263798009453,0
-0.22844820812272568,-1.7309325720217632,1
-1.7253227798959667,-1.7454698295270188,1
-0.7821182126632271,-0.2175105527315227,0
-1.125067045931746,-1.7292617431772,1
1.9730190917167112,-0.2742659454696093,2
0.33846676363342443,1.155728117867796,0
0.030139365834443495,1.218318342962056,0
0.4781275963272044,-0.23010686723792645,0
-2.4019212406337633,-1.66981652587304,1
-0.3981207378963907,-0.2641173525966809,3
-1.0074818908487837,-1.7306145668426016,1
0.08684818586146792,-1.745780508955084,1
0.8129777881876116,1.169030238323339,0
-0.9248811444767774,-1.7606026692615333,1
-0.5523457210228758,1.2061906961475473,0
0.42101769259734323,-1.816886786467877,3
2.097071731485426,-0.2603735287188928,2
-1.6942164586399486,1.2607131766420525,0
0.03330959673580846,1.166013304800964,3
0.6819803432148026,1.2073705129612944,0
1.961556548087607,-1.8225860820457784,2
-0.36546122734355374,-0.2324491416949151,3
-0.6193084780723875,-0.20272777584564367,0
-0.7691117545990765,1.1972223899273908,0
-0.5600510109973911,1.1863132191901493,0
-0.4351689600580075,1.1383324696695991,3
0.3884697352537178,-0.22325962050871972,0
0.7546330196310522,-0.2675408201743653,0
0.3459424488509041,1.206353761598966,0
0.7834363175895187,1.1715608279381917,0
1.5322627573178937,-1.80066226527576,1
1.4010184823392207,1.1047005989605665,2
-0.5838481044186434,1.3103273391343546,0
1.1175320650544551,1.1555268912431993,0
0.7354054708140761,-0.30253421082481957,3
0.21299085855039157,1.1543601653265123,0
1.9168467662400748,-0.3100710786476531,3
-0.5314847534202457,-1.803026554268361,1
0.28062579136189625,1.1449876690973007,3
-2.909978312859886,-1.6702691920429316,1
1.7605377042209256,1.1309236510034562,2
1.6326425552975479,-1.8139009486507773,1
2.415738138457006,1.1081654327376873,2
-0.5393332282459807,1.219126847630358,0
0.3527032835598482,1.1459651430133444,0
-0.43339790373783854,1.1475751727066408,3
4.216130004990117,0.9740708410411175,2
1.1510453058130246,1.185912859666304,0
-1.104869412304048,1.2121361549436938,0
-0.7708836755119955,-0.18365705266451293,0
-1.1820739512483234,1.239974888569949,0
2.141957274625106,1.1016625290177617,2
5.904925573350174,-1.9740689878647042,2
1.5679761140666122,-1.7692212013082222,1
-0.6194097072416133,1.2080532493446414,0
0.10394294732916073,-1.7860256023598795,3
1.0198903566006272,1.1924697565603481,0
0.5136342231741956,1.1562030584494642,0
-1.517031530919292,-0.22049751257032196,0
0.15499361362267822,-1.7899318895796916,1
0.03279815093692469,-0.20975921208680687,0
-1.2884730653148904,-0.17245916998938526,0
-1.206473349527143,1.2357995105430732,0
-0.48301143893227866,1.188206775886397,3
1.144454509627693,-1.7694162147605044,1
-1.1005346728100878,-0.19064792181921753,0
1.3609964260946092,-1.821467475445006,1
-1.3018005049961279,-0.22931331175447045,0
-0.22598947647704917,-1.7337828448465005,1
-0.4241276916159069,1.2375868966173902,0
0.5296998711102284,1.2152640075092023,0
-0.12901848154227444,1.2105432712377553,0
-0.15291730967581083,1.137389103305522,0
-0.11603455994678437,1.1926254440541633,0
-0.09940545794693333,-0.25402651982465924,3
